pep length_3,pep length_4,pep length_5,pep length_8,pep length_9,pep length_10,APBS_Ligand,CHARMM,ElectDD,PLANTS_CHEMPLP,PLANTS_CHEMPLP_NORM_WEIGHT,PLANTS_CHEMPLP_RB_PEN_NORM_CRT_HEVATOMS,PLANTS_CHEMPLP_NORM_CONTACT,RPScore_Norm_LigContacts,RPScore_LigContacts,RPScore_RecContacts,XS_HPScore,XS_HSScore,DPSA1,PPSA1,MOMI-Z,PBF,PNSA1:nrb,WNSA2:nrb,RNCS:nrb,RPCS:nha,RPCS:nrb,MOMI-Z:nrb,Region 1,psi_prob
1,0,0,0,0,0,-414.443237,656.958984,-81.996315,-61.3344,-0.164275,-11.9272,-2.19051,-1.213334,3,17,5.31,5.24,-49.07621707169585,263.3878586573836,2191.539496956278,0.8465519917620837,20.830938381938623,-60.83672427421652,25.285126445419948,0.0631933259485598,0.109535098310837,146.10263313041852,0.0,0.0013902239283532
1,0,0,0,0,0,-355.393982,-15.090073,-33.388477,-57.848,-0.154937,-10.7504,-2.066,-1.32,3,14,5.29,5.43,-39.83454602753159,264.6111869704187,1986.7685396193028,1.0085052958307894,20.296382199863352,-58.57610616620668,18.05896448114048,0.3107005192470858,0.5385475666949487,132.45123597462018,0.0,0.0007096310433883
1,0,0,0,0,0,-514.431763,-37.939018,-6.947196,-70.811203,-0.189657,-15.1262,-2.44177,-1.486667,3,18,5.56,5.47,-60.19488943140334,259.6759120699237,2705.085866983233,0.9081365794947523,21.32472010008847,-62.67840614513214,25.272245586303587,5.545214351986124,9.61170487677595,180.33905779888215,0.0,0.0019497689766652
1,0,0,0,0,0,-672.160217,-24.608889,-8.909496,-77.075203,-0.206435,-17.240601,-2.65777,-1.266667,3,17,5.58,5.59,-5.842766465521152,274.5827446291051,1941.219211174739,0.9362287605085848,18.695034072975083,-52.62254662769445,17.55661097560234,3.0385457560265854,5.266812643779415,129.41461407831594,0.0,0.0036695728138296
1,0,0,0,0,0,-564.377747,221.814835,-13.434065,-70.784599,-0.189586,-15.1172,-2.52802,-1.31,3,17,5.7,5.61,-12.2356351458846,271.1819582905431,1847.965288906349,0.8506286729140582,18.894506229095175,-53.144854022467705,16.706474273922403,7.335691920528654,12.715199328916333,123.19768592708996,0.0,0.0032095456992216
1,0,0,0,0,0,-513.479797,-16.663593,-6.259645,-68.466103,-0.183376,-14.3346,-2.44522,-1.44,3,19,5.59,5.45,-41.33554368768699,255.08899013886548,2450.323485661257,0.891347678527214,19.76163558843683,-55.27454932204996,6.633642444926781,3.686277346999324,6.389547401465495,163.3548990440838,0.0,0.0034520407785411
1,0,0,0,0,0,-578.680298,-32.790123,-18.297581,-66.291397,-0.177552,-13.6005,-2.28591,-1.493333,3,19,5.5,5.6,15.15327845762556,283.08711952152,2214.144104625057,0.9725595554821804,17.862256070926296,-49.91724268461483,16.22988248661698,5.597875456943258,9.702984125368314,147.6096069750038,0.0,0.0011002004173936
1,0,0,0,0,0,-546.648621,171.114349,1.279017,-63.742802,-0.170726,-12.7402,-2.27653,-1.206667,3,17,5.61,5.44,-6.116676471760854,276.84105318857297,2276.221802844535,0.9116134133020808,18.86384864402225,-53.55603421223727,15.882099290475187,2.4224108280281267,4.198845435248753,151.74812018963567,0.0,0.0037444199666816
1,0,0,0,0,0,-620.030762,223.275116,-8.984737,-68.488503,-0.183436,-14.3421,-2.44602,-1.823333,3,16,5.7,5.49,7.643833175909492,271.6129562873772,1603.020544757393,1.0229297684051175,17.59794154076451,-47.800678923893166,15.096366884377062,3.280786838829398,5.68669718730429,106.86803631715954,0.0,0.0002582336881954
1,0,0,0,0,0,-654.396057,12.794147,8.915344,-66.5578,-0.178265,-13.6904,-2.2951,-1.36,3,17,5.65,5.68,21.635343541427854,286.5349805856816,1586.5060056942589,0.971374664057002,17.65997580295025,-49.38900626443649,14.65841767442073,6.761685876495903,11.720255519259563,105.76706704628393,0.0,0.001956311626328
