pep length_3,pep length_4,pep length_5,pep length_8,pep length_9,pep length_10,APBS_Ligand,CHARMM,ElectDD,PLANTS_CHEMPLP,PLANTS_CHEMPLP_NORM_WEIGHT,PLANTS_CHEMPLP_RB_PEN_NORM_CRT_HEVATOMS,PLANTS_CHEMPLP_NORM_CONTACT,RPScore_Norm_LigContacts,RPScore_LigContacts,RPScore_RecContacts,XS_HPScore,XS_HSScore,DPSA1,PPSA1,MOMI-Z,PBF,PNSA1:nrb,WNSA2:nrb,RNCS:nrb,RPCS:nha,RPCS:nrb,MOMI-Z:nrb,Region 1,psi_prob
0,0,0,0,0,1,-407.88681,-61.747757,-39.835392,-125.707001,-0.127083,-25.528099,-1.79582,0.286,10,17,7.36,7.72,768.3894259036697,1063.1905439388688,5521.559414323652,1.5320678190746788,29.48011180351991,-293.677848411343,56.79983954047735,3.596554261238351,25.535535254792293,552.1559414323652,0.875,0.00847536557822557
0,0,0,0,0,1,-392.043701,471.427551,-51.67194,-131.507996,-0.132947,-26.9291,-1.93395,0.397,10,18,7.77,8.01,755.0469373611134,1034.808860016512,7516.94646613879,1.5236175238694794,27.97619226553987,-269.78483865272227,28.063161828299087,3.53699349003313,25.112653779235224,751.6946466138791,0.5,0.004959800064464861
0,0,0,0,0,1,-404.185394,-21.233227,-4.562799,-117.521004,-0.118807,-23.551201,-1.95869,0.319,10,18,7.4,7.74,753.9571051036056,1042.89575706827,8233.993679671628,1.6967636001631692,28.893865196466447,-282.2934707786495,42.65600597901461,3.527830294463096,25.04759509068798,823.3993679671628,0.625,0.006572093349269781
0,0,0,0,0,1,-375.661987,273.649475,14.366135,-118.778999,-0.120079,-23.855,-1.72144,0.056,10,19,7.84,8.28,675.3854959936991,938.5004856968684,9756.623046648318,1.8148556029310543,26.311498970316933,-231.92953836962096,23.516929612114637,3.6652782280136074,26.02347541889661,975.6623046648316,0.25,0.003467297695791974
0,0,0,0,0,1,-353.047974,40.872253,-14.880295,-118.008003,-0.119299,-23.668699,-1.78799,0.294,10,17,7.46,7.76,702.6777156526177,999.0891973662176,8683.76962771725,1.5941555193219894,29.641148171359976,-281.6940198713589,50.85044923287795,3.5828094678833,25.43794722197143,868.3769627717251,0.375,0.005021957691067292
0,0,0,0,0,1,-374.940643,-46.788654,-62.028,-115.671997,-0.116938,-23.104601,-1.70106,0.124,10,19,7.23,7.63,728.3523700604923,1024.2265846122405,7125.2712482200295,1.5755147999919146,29.58742145517482,-286.5227904176988,49.67179643608937,3.518667098893062,24.98253640214074,712.527124822003,0.5,0.005470784466284578
0,0,0,0,0,1,-390.010681,222.169083,-8.738493,-117.238998,-0.118522,-23.483101,-1.74984,-0.014,10,18,7.88,8.2,762.2534687059158,1045.109326201842,8824.248781416005,1.7569786317456524,28.285585749592617,-275.5477224634846,37.436257878950975,3.4453615343327897,24.46206689376281,882.4248781416005,0.5,0.00561146908476421
0,0,0,0,0,1,-388.644623,414.951416,8.394372,-116.209999,-0.117482,-23.234501,-1.70897,0.107,10,20,7.74,8.13,727.6308364442775,1009.4764629542065,9085.409695839133,1.6306411429231271,28.18456265099288,-266.9874456525823,37.32400523163778,3.619462250163436,25.698181976160395,908.5409695839132,0.625,0.005715444735856532
0,0,0,0,0,1,-400.720551,262.603943,-8.636724,-113.879997,-0.115127,-22.6719,-1.75201,0.181,10,16,7.51,7.82,767.2142925226287,1052.8370295771192,7131.122493373252,1.638595497731986,28.56227370544905,-280.44200131478084,37.09949993701139,3.436198338762756,24.397008205215567,713.1122493373252,0.5,0.005317082595838865
0,0,0,0,0,1,-386.671661,348.590088,6.434617,-113.624001,-0.114867,-22.610001,-1.72158,0.135,10,16,7.18,7.6,675.2031958616865,955.0497468284832,11808.773493561775,1.7305494271627524,27.984655096679667,-253.51018219742215,39.23230023596212,3.6011358590233686,25.56806459906592,1180.8773493561778,0.5,0.003870258740962387
0,0,0,0,0,1,-371.424713,-0.304178,-9.134576,-109.813004,-0.111015,-21.689699,-1.77118,0.357,10,16,7.51,7.72,766.6083434590378,1051.4665282185672,6605.730222870428,1.5182155412320952,28.485818475952943,-279.2451651642558,37.88526846820377,3.5049223055380114,24.88494836931988,660.5730222870428,0.375,0.005103291863200046
0,0,0,0,0,1,-387.014954,59.536823,-2.352642,-108.369003,-0.109554,-21.340799,-1.66721,0.402,10,16,7.36,7.59,752.6450599839445,1048.329409507567,5704.918220923428,1.6504137970335666,29.568434952362253,-291.5258114446506,46.27615385486519,3.468269523257875,24.62471361513091,570.4918220923428,0.5,0.004745209588415431
0,0,0,0,0,1,-385.659058,95.603134,-46.879307,-106.648003,-0.107815,-20.9254,-1.54563,0.232,10,17,7.39,7.74,761.5015567736964,1019.693055007032,5759.6386830561605,1.4552681852842912,25.81914982333355,-242.0351926122993,7.156106266216267,3.454524729902824,24.52712558231005,575.9638683056161,0.375,0.003191012460522119
0,0,0,0,0,1,-355.336975,71.526268,-3.583778,-109.469002,-0.110667,-21.606701,-1.63387,0.311,10,16,7.5,7.95,760.567374453808,1053.8305152351384,5394.915685430038,1.5538579097793284,29.32631407813303,-289.80123532793573,47.17417503337076,3.6011358590233686,25.56806459906592,539.4915685430038,0.625,0.005930652181185801
0,0,0,0,0,1,-388.724823,73.65905,-9.158621,-89.092102,-0.090067,-16.6856,-1.53607,0.186471,17,14,6.35,6.94,752.5223176148195,1059.5431253695288,5133.070993354981,1.5113632800972243,30.70208077547092,-307.78165066923145,49.1105331995234,2.941385777980919,20.883839023664528,513.307099335498,1.0,0.01018733206482565
0,0,0,0,0,1,-404.541168,832.595093,-6.865905,-86.484001,-0.08743,-16.055799,-1.33052,0.22,19,12,6.49,6.83,738.132730341117,1047.9895865275732,4880.578637676212,1.4809226628088623,30.98568561864562,-308.6432114071273,48.99828055221021,1.7226807671663948,12.231033446881405,488.05786376762114,0.875,0.01043066924680113
